Question,289,290,291,292,293,294,295,309
Min MAD,0.206,0.162,0.202,0.075,0.081,0.136,0.049,0.139
Text ED MAD,0,14,0,6,5,4,0,0
Tree ED MAD,0,2,0,4,4,4,0,0
Words,34,17,34,14,6,9,8,24
Characters,160,103,194,98,52,70,48,173
Clauses,6,4,11,3,3,3,3,8
Keywords,7,4,6,4,3,4,5,7
Variables,27,13,28,10,3,5,3,17
