sn_sm_rs,MSE,MAD
0_0_0,0.153,0.205
0_0_2,0.093,0.144
0_0_3,0.094,0.146
0_2_0,0.153,0.205
0_2_2,0.093,0.144
0_2_3,0.093,0.145
0_3_0,0.153,0.205
0_3_2,0.093,0.144
0_3_3,0.093,0.145
2_0_0,0.497,0.549
2_0_2,0.078,0.215
2_0_3,0.068,0.189
2_2_0,0.106,0.256
2_2_2,0.067,0.187
2_2_3,0.072,0.169
2_3_0,0.106,0.236
2_3_2,0.067,0.187
2_3_3,0.069,0.175
3_0_0,0.513,0.579
3_0_2,0.097,0.242
3_0_3,0.071,0.207
3_2_0,0.147,0.297
3_2_2,0.074,0.215
3_2_3,0.068,0.186
3_3_0,0.107,0.266
3_3_2,0.08,0.225
3_3_3,0.07,0.206
