Question, -1.0, -0.86, -0.6, -0.5, -0.36, 0.0, 0.14, 0.43
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,77.0,108.0,1.0
MSE,0.069,,,,,,,
MAD,0.175,,,,,,,
