sn_sm_rs,MSE,MAD
0_0_0,0.517,0.518
0_0_2,0.088,0.09
0_0_3,0.088,0.09
0_2_0,0.509,0.51
0_2_2,0.092,0.098
0_2_3,0.097,0.102
0_3_0,0.503,0.506
0_3_2,0.092,0.098
0_3_3,0.096,0.1
2_0_0,0.417,0.418
2_0_2,0.086,0.2
2_0_3,0.075,0.158
2_2_0,0.273,0.479
2_2_2,0.08,0.164
2_2_3,0.087,0.14
2_3_0,0.338,0.488
2_3_2,0.08,0.164
2_3_3,0.084,0.148
3_0_0,0.419,0.422
3_0_2,0.101,0.224
3_0_3,0.078,0.175
3_2_0,0.231,0.465
3_2_2,0.089,0.195
3_2_3,0.086,0.159
3_3_0,0.271,0.478
3_3_2,0.093,0.206
3_3_3,0.086,0.183
