sn_sm_rs,MSE,MAD
0_0_0,0.466,0.481
0_0_2,0.05,0.065
0_0_3,0.096,0.158
0_2_0,0.45,0.465
0_2_2,0.05,0.065
0_2_3,0.062,0.112
0_3_0,0.439,0.458
0_3_2,0.05,0.065
0_3_3,0.07,0.126
2_0_0,0.375,0.39
2_0_2,0.062,0.159
2_0_3,0.105,0.195
2_2_0,0.242,0.427
2_2_2,0.046,0.121
2_2_3,0.062,0.136
2_3_0,0.295,0.435
2_3_2,0.046,0.121
2_3_3,0.074,0.158
3_0_0,0.375,0.39
3_0_2,0.077,0.181
3_0_3,0.11,0.203
3_2_0,0.205,0.412
3_2_2,0.056,0.147
3_2_3,0.072,0.159
3_3_0,0.236,0.422
3_3_2,0.062,0.159
3_3_3,0.085,0.181
