Edit Distances,MSE,MAD
0_0,0.063,0.126
0_1,0.063,0.126
0_10,0.063,0.126
0_11,0.063,0.126
0_12,0.063,0.126
0_13,0.063,0.126
0_14,0.063,0.126
0_15,0.063,0.126
0_2,0.063,0.126
0_3,0.063,0.126
0_4,0.063,0.126
0_5,0.063,0.126
0_6,0.063,0.126
0_7,0.063,0.126
0_8,0.063,0.126
0_9,0.063,0.126
10_0,0.066,0.134
10_1,0.066,0.134
10_10,0.061,0.126
10_11,0.061,0.126
10_12,0.061,0.126
10_13,0.061,0.126
10_14,0.061,0.126
10_15,0.061,0.126
10_2,0.061,0.126
10_3,0.061,0.126
10_4,0.061,0.126
10_5,0.061,0.126
10_6,0.061,0.126
10_7,0.061,0.126
10_8,0.061,0.126
10_9,0.061,0.126
11_0,0.078,0.147
11_1,0.078,0.147
11_10,0.073,0.14
11_11,0.073,0.14
11_12,0.073,0.14
11_13,0.073,0.14
11_14,0.073,0.14
11_15,0.073,0.14
11_2,0.073,0.14
11_3,0.073,0.14
11_4,0.073,0.14
11_5,0.073,0.14
11_6,0.073,0.14
11_7,0.073,0.14
11_8,0.073,0.14
11_9,0.073,0.14
12_0,0.071,0.142
12_1,0.071,0.142
12_10,0.066,0.134
12_11,0.066,0.134
12_12,0.066,0.134
12_13,0.066,0.134
12_14,0.066,0.134
12_15,0.066,0.134
12_2,0.066,0.134
12_3,0.066,0.134
12_4,0.066,0.134
12_5,0.066,0.134
12_6,0.066,0.134
12_7,0.066,0.134
12_8,0.066,0.134
12_9,0.066,0.134
13_0,0.08,0.149
13_1,0.08,0.149
13_10,0.081,0.149
13_11,0.081,0.149
13_12,0.081,0.149
13_13,0.081,0.149
13_14,0.081,0.149
13_15,0.081,0.149
13_2,0.081,0.149
13_3,0.081,0.149
13_4,0.081,0.149
13_5,0.081,0.149
13_6,0.081,0.149
13_7,0.081,0.149
13_8,0.081,0.149
13_9,0.081,0.149
14_0,0.081,0.151
14_1,0.081,0.151
14_10,0.082,0.151
14_11,0.082,0.151
14_12,0.082,0.151
14_13,0.082,0.151
14_14,0.082,0.151
14_15,0.082,0.151
14_2,0.082,0.151
14_3,0.082,0.151
14_4,0.082,0.151
14_5,0.082,0.151
14_6,0.082,0.151
14_7,0.082,0.151
14_8,0.082,0.151
14_9,0.082,0.151
15_0,0.081,0.151
15_1,0.081,0.151
15_10,0.082,0.151
15_11,0.082,0.151
15_12,0.082,0.151
15_13,0.082,0.151
15_14,0.082,0.151
15_15,0.082,0.151
15_2,0.082,0.151
15_3,0.082,0.151
15_4,0.082,0.151
15_5,0.082,0.151
15_6,0.082,0.151
15_7,0.082,0.151
15_8,0.082,0.151
15_9,0.082,0.151
16_0,0.081,0.151
16_1,0.081,0.151
16_10,0.082,0.151
16_11,0.082,0.151
16_12,0.082,0.151
16_13,0.082,0.151
16_14,0.082,0.151
16_15,0.082,0.151
16_2,0.082,0.151
16_3,0.082,0.151
16_4,0.082,0.151
16_5,0.082,0.151
16_6,0.082,0.151
16_7,0.082,0.151
16_8,0.082,0.151
16_9,0.082,0.151
1_0,0.063,0.126
1_1,0.063,0.126
1_10,0.063,0.126
1_11,0.063,0.126
1_12,0.063,0.126
1_13,0.063,0.126
1_14,0.063,0.126
1_15,0.063,0.126
1_2,0.063,0.126
1_3,0.063,0.126
1_4,0.063,0.126
1_5,0.063,0.126
1_6,0.063,0.126
1_7,0.063,0.126
1_8,0.063,0.126
1_9,0.063,0.126
2_0,0.063,0.126
2_1,0.063,0.126
2_10,0.063,0.126
2_11,0.063,0.126
2_12,0.063,0.126
2_13,0.063,0.126
2_14,0.063,0.126
2_15,0.063,0.126
2_2,0.063,0.126
2_3,0.063,0.126
2_4,0.063,0.126
2_5,0.063,0.126
2_6,0.063,0.126
2_7,0.063,0.126
2_8,0.063,0.126
2_9,0.063,0.126
3_0,0.063,0.126
3_1,0.063,0.126
3_10,0.063,0.126
3_11,0.063,0.126
3_12,0.063,0.126
3_13,0.063,0.126
3_14,0.063,0.126
3_15,0.063,0.126
3_2,0.063,0.126
3_3,0.063,0.126
3_4,0.063,0.126
3_5,0.063,0.126
3_6,0.063,0.126
3_7,0.063,0.126
3_8,0.063,0.126
3_9,0.063,0.126
4_0,0.063,0.126
4_1,0.063,0.126
4_10,0.063,0.126
4_11,0.063,0.126
4_12,0.063,0.126
4_13,0.063,0.126
4_14,0.063,0.126
4_15,0.063,0.126
4_2,0.063,0.126
4_3,0.063,0.126
4_4,0.063,0.126
4_5,0.063,0.126
4_6,0.063,0.126
4_7,0.063,0.126
4_8,0.063,0.126
4_9,0.063,0.126
5_0,0.065,0.132
5_1,0.065,0.132
5_10,0.061,0.124
5_11,0.061,0.124
5_12,0.061,0.124
5_13,0.061,0.124
5_14,0.061,0.124
5_15,0.061,0.124
5_2,0.061,0.124
5_3,0.061,0.124
5_4,0.061,0.124
5_5,0.061,0.124
5_6,0.061,0.124
5_7,0.061,0.124
5_8,0.061,0.124
5_9,0.061,0.124
6_0,0.068,0.138
6_1,0.068,0.138
6_10,0.063,0.13
6_11,0.063,0.13
6_12,0.063,0.13
6_13,0.063,0.13
6_14,0.063,0.13
6_15,0.063,0.13
6_2,0.063,0.13
6_3,0.063,0.13
6_4,0.063,0.13
6_5,0.063,0.13
6_6,0.063,0.13
6_7,0.063,0.13
6_8,0.063,0.13
6_9,0.063,0.13
7_0,0.068,0.138
7_1,0.068,0.138
7_10,0.063,0.13
7_11,0.063,0.13
7_12,0.063,0.13
7_13,0.063,0.13
7_14,0.063,0.13
7_15,0.063,0.13
7_2,0.063,0.13
7_3,0.063,0.13
7_4,0.063,0.13
7_5,0.063,0.13
7_6,0.063,0.13
7_7,0.063,0.13
7_8,0.063,0.13
7_9,0.063,0.13
8_0,0.068,0.138
8_1,0.068,0.138
8_10,0.063,0.13
8_11,0.063,0.13
8_12,0.063,0.13
8_13,0.063,0.13
8_14,0.063,0.13
8_15,0.063,0.13
8_2,0.063,0.13
8_3,0.063,0.13
8_4,0.063,0.13
8_5,0.063,0.13
8_6,0.063,0.13
8_7,0.063,0.13
8_8,0.063,0.13
8_9,0.063,0.13
9_0,0.068,0.138
9_1,0.068,0.138
9_10,0.063,0.13
9_11,0.063,0.13
9_12,0.063,0.13
9_13,0.063,0.13
9_14,0.063,0.13
9_15,0.063,0.13
9_2,0.063,0.13
9_3,0.063,0.13
9_4,0.063,0.13
9_5,0.063,0.13
9_6,0.063,0.13
9_7,0.063,0.13
9_8,0.063,0.13
9_9,0.063,0.13
