Question, -0.88, -0.75, -0.55, -0.05, 0.0, 0.12, 0.2, 0.25, 0.5, 0.62, 0.75, 1.0
IPC033-292 v1,1.0,1.0,2.0,39.0,180.0,1.0,1.0,10.0,2.0,1.0,15.0,1.0
MSE,0.051,,,,,,,,,,,
MAD,0.084,,,,,,,,,,,
