Question, -0.8, -0.68, -0.62, -0.43, -0.38, 0.0, 0.12, 0.38, 0.5
IPC033-236 v1,1.0,1.0,1.0,2.0,1.0,22.0,1.0,35.0,1.0
MSE,0.113,,,,,,,,
MAD,0.266,,,,,,,,
