Question, -0.8, -0.67, -0.47, -0.33, -0.17, 0.0, 0.33
IPC033-232 v1,1.0,23.0,1.0,14.0,1.0,18.0,7.0
MSE,0.208,,,,,,
MAD,0.366,,,,,,
