sn_sm_rs,MSE,MAD
0_0_0,0.804,0.809
0_0_2,0.112,0.117
0_0_3,0.116,0.125
0_2_0,0.604,0.609
0_2_2,0.046,0.071
0_2_3,0.038,0.055
0_3_0,0.443,0.502
0_3_2,0.046,0.071
0_3_3,0.039,0.06
2_0_0,0.134,0.138
2_0_2,0.061,0.112
2_0_3,0.074,0.114
2_2_0,0.282,0.442
2_2_2,0.03,0.071
2_2_3,0.023,0.05
2_3_0,0.281,0.415
2_3_2,0.03,0.071
2_3_3,0.025,0.058
3_0_0,0.122,0.131
3_0_2,0.058,0.111
3_0_3,0.07,0.113
3_2_0,0.181,0.359
3_2_2,0.031,0.071
3_2_3,0.025,0.053
3_3_0,0.208,0.366
3_3_2,0.034,0.078
3_3_3,0.028,0.065
