sn_sm_rs,MSE,MAD
0_0_0,0.807,0.833
0_0_2,0.115,0.142
0_0_3,0.118,0.148
0_2_0,0.807,0.833
0_2_2,0.047,0.085
0_2_3,0.048,0.07
0_3_0,0.807,0.833
0_3_2,0.047,0.085
0_3_3,0.046,0.077
2_0_0,0.121,0.147
2_0_2,0.057,0.122
2_0_3,0.077,0.135
2_2_0,0.365,0.585
2_2_2,0.04,0.089
2_2_3,0.046,0.076
2_3_0,0.514,0.683
2_3_2,0.04,0.089
2_3_3,0.044,0.082
3_0_0,0.12,0.149
3_0_2,0.051,0.119
3_0_3,0.069,0.132
3_2_0,0.219,0.458
3_2_2,0.04,0.086
3_2_3,0.048,0.081
3_3_0,0.364,0.586
3_3_2,0.04,0.091
3_3_3,0.044,0.085
