Question, -1.0, -0.75, -0.55, 0.0, 0.12, 0.2, 0.25, 0.5, 0.75, 0.88, 1.0
IPC033-292 v1,1.0,1.0,41.0,180.0,1.0,1.0,23.0,3.0,1.0,1.0,1.0
MSE,0.073,,,,,,,,,,
MAD,0.136,,,,,,,,,,
