Edit Distances,MSE,MAD
0_0,0.078,0.175
0_1,0.078,0.175
0_10,0.078,0.175
0_11,0.078,0.175
0_12,0.078,0.175
0_13,0.078,0.175
0_14,0.078,0.175
0_15,0.078,0.175
0_2,0.078,0.175
0_3,0.078,0.175
0_4,0.078,0.175
0_5,0.078,0.175
0_6,0.078,0.175
0_7,0.078,0.175
0_8,0.078,0.175
0_9,0.078,0.175
10_0,0.076,0.173
10_1,0.072,0.169
10_10,0.087,0.185
10_11,0.087,0.185
10_12,0.087,0.185
10_13,0.087,0.185
10_14,0.087,0.185
10_15,0.087,0.185
10_2,0.072,0.169
10_3,0.078,0.175
10_4,0.08,0.177
10_5,0.08,0.177
10_6,0.081,0.179
10_7,0.083,0.181
10_8,0.087,0.185
10_9,0.087,0.185
11_0,0.076,0.174
11_1,0.072,0.17
11_10,0.086,0.184
11_11,0.086,0.184
11_12,0.086,0.184
11_13,0.086,0.184
11_14,0.086,0.184
11_15,0.086,0.184
11_2,0.067,0.164
11_3,0.076,0.174
11_4,0.078,0.176
11_5,0.078,0.176
11_6,0.08,0.178
11_7,0.082,0.18
11_8,0.086,0.184
11_9,0.086,0.184
12_0,0.076,0.174
12_1,0.072,0.17
12_10,0.086,0.184
12_11,0.086,0.184
12_12,0.086,0.184
12_13,0.086,0.184
12_14,0.086,0.184
12_15,0.086,0.184
12_2,0.067,0.164
12_3,0.076,0.174
12_4,0.078,0.176
12_5,0.078,0.176
12_6,0.08,0.178
12_7,0.082,0.18
12_8,0.086,0.184
12_9,0.086,0.184
13_0,0.076,0.174
13_1,0.072,0.17
13_10,0.096,0.194
13_11,0.096,0.194
13_12,0.096,0.194
13_13,0.096,0.194
13_14,0.096,0.194
13_15,0.096,0.194
13_2,0.067,0.164
13_3,0.076,0.174
13_4,0.078,0.176
13_5,0.088,0.186
13_6,0.088,0.186
13_7,0.09,0.188
13_8,0.096,0.194
13_9,0.096,0.194
14_0,0.076,0.174
14_1,0.074,0.172
14_10,0.106,0.204
14_11,0.106,0.204
14_12,0.106,0.204
14_13,0.106,0.204
14_14,0.106,0.204
14_15,0.106,0.204
14_2,0.065,0.162
14_3,0.075,0.172
14_4,0.077,0.174
14_5,0.09,0.188
14_6,0.096,0.194
14_7,0.098,0.196
14_8,0.106,0.204
14_9,0.106,0.204
15_0,0.076,0.175
15_1,0.074,0.173
15_10,0.179,0.278
15_11,0.179,0.278
15_12,0.179,0.278
15_13,0.179,0.278
15_14,0.179,0.278
15_15,0.179,0.278
15_2,0.071,0.169
15_3,0.081,0.179
15_4,0.084,0.183
15_5,0.141,0.24
15_6,0.163,0.262
15_7,0.165,0.264
15_8,0.179,0.278
15_9,0.179,0.278
16_0,0.076,0.175
16_1,0.074,0.173
16_10,0.181,0.28
16_11,0.181,0.28
16_12,0.181,0.28
16_13,0.181,0.28
16_14,0.181,0.28
16_15,0.181,0.28
16_2,0.071,0.169
16_3,0.081,0.179
16_4,0.084,0.183
16_5,0.143,0.242
16_6,0.167,0.266
16_7,0.169,0.268
16_8,0.181,0.28
16_9,0.181,0.28
1_0,0.078,0.175
1_1,0.078,0.175
1_10,0.08,0.177
1_11,0.08,0.177
1_12,0.08,0.177
1_13,0.08,0.177
1_14,0.08,0.177
1_15,0.08,0.177
1_2,0.078,0.175
1_3,0.08,0.177
1_4,0.08,0.177
1_5,0.08,0.177
1_6,0.08,0.177
1_7,0.08,0.177
1_8,0.08,0.177
1_9,0.08,0.177
2_0,0.078,0.175
2_1,0.078,0.175
2_10,0.082,0.178
2_11,0.082,0.178
2_12,0.082,0.178
2_13,0.082,0.178
2_14,0.082,0.178
2_15,0.082,0.178
2_2,0.078,0.175
2_3,0.08,0.177
2_4,0.082,0.178
2_5,0.082,0.178
2_6,0.082,0.178
2_7,0.082,0.178
2_8,0.082,0.178
2_9,0.082,0.178
3_0,0.078,0.175
3_1,0.078,0.175
3_10,0.082,0.178
3_11,0.082,0.178
3_12,0.082,0.178
3_13,0.082,0.178
3_14,0.082,0.178
3_15,0.082,0.178
3_2,0.078,0.175
3_3,0.08,0.177
3_4,0.082,0.178
3_5,0.082,0.178
3_6,0.082,0.178
3_7,0.082,0.178
3_8,0.082,0.178
3_9,0.082,0.178
4_0,0.078,0.175
4_1,0.082,0.179
4_10,0.086,0.183
4_11,0.086,0.183
4_12,0.086,0.183
4_13,0.086,0.183
4_14,0.086,0.183
4_15,0.086,0.183
4_2,0.082,0.179
4_3,0.084,0.181
4_4,0.086,0.183
4_5,0.086,0.183
4_6,0.086,0.183
4_7,0.086,0.183
4_8,0.086,0.183
4_9,0.086,0.183
5_0,0.079,0.176
5_1,0.088,0.186
5_10,0.092,0.19
5_11,0.092,0.19
5_12,0.092,0.19
5_13,0.092,0.19
5_14,0.092,0.19
5_15,0.092,0.19
5_2,0.088,0.186
5_3,0.09,0.188
5_4,0.092,0.19
5_5,0.092,0.19
5_6,0.092,0.19
5_7,0.092,0.19
5_8,0.092,0.19
5_9,0.092,0.19
6_0,0.079,0.176
6_1,0.09,0.188
6_10,0.094,0.192
6_11,0.094,0.192
6_12,0.094,0.192
6_13,0.094,0.192
6_14,0.094,0.192
6_15,0.094,0.192
6_2,0.09,0.188
6_3,0.092,0.19
6_4,0.094,0.192
6_5,0.094,0.192
6_6,0.094,0.192
6_7,0.094,0.192
6_8,0.094,0.192
6_9,0.094,0.192
7_0,0.079,0.176
7_1,0.094,0.192
7_10,0.098,0.196
7_11,0.098,0.196
7_12,0.098,0.196
7_13,0.098,0.196
7_14,0.098,0.196
7_15,0.098,0.196
7_2,0.094,0.192
7_3,0.1,0.198
7_4,0.098,0.196
7_5,0.098,0.196
7_6,0.098,0.196
7_7,0.098,0.196
7_8,0.098,0.196
7_9,0.098,0.196
8_0,0.079,0.176
8_1,0.075,0.172
8_10,0.086,0.184
8_11,0.086,0.184
8_12,0.086,0.184
8_13,0.086,0.184
8_14,0.086,0.184
8_15,0.086,0.184
8_2,0.075,0.172
8_3,0.081,0.178
8_4,0.083,0.18
8_5,0.083,0.18
8_6,0.083,0.18
8_7,0.083,0.18
8_8,0.086,0.184
8_9,0.086,0.184
9_0,0.079,0.176
9_1,0.075,0.172
9_10,0.086,0.184
9_11,0.086,0.184
9_12,0.086,0.184
9_13,0.086,0.184
9_14,0.086,0.184
9_15,0.086,0.184
9_2,0.075,0.172
9_3,0.081,0.178
9_4,0.083,0.18
9_5,0.083,0.18
9_6,0.083,0.18
9_7,0.083,0.18
9_8,0.086,0.184
9_9,0.086,0.184
