Edit Distances,MSE,MAD
0_0,0.086,0.174
0_1,0.086,0.174
0_10,0.086,0.174
0_11,0.086,0.174
0_12,0.086,0.174
0_13,0.086,0.174
0_14,0.086,0.174
0_15,0.086,0.174
0_2,0.086,0.174
0_3,0.086,0.174
0_4,0.086,0.174
0_5,0.086,0.174
0_6,0.086,0.174
0_7,0.086,0.174
0_8,0.086,0.174
0_9,0.086,0.174
10_0,0.084,0.178
10_1,0.084,0.178
10_10,0.084,0.178
10_11,0.084,0.178
10_12,0.084,0.178
10_13,0.084,0.178
10_14,0.084,0.178
10_15,0.084,0.178
10_2,0.084,0.178
10_3,0.084,0.178
10_4,0.084,0.178
10_5,0.084,0.178
10_6,0.084,0.178
10_7,0.084,0.178
10_8,0.084,0.178
10_9,0.084,0.178
11_0,0.084,0.178
11_1,0.084,0.178
11_10,0.084,0.178
11_11,0.084,0.178
11_12,0.084,0.178
11_13,0.084,0.178
11_14,0.084,0.178
11_15,0.084,0.178
11_2,0.084,0.178
11_3,0.084,0.178
11_4,0.084,0.178
11_5,0.084,0.178
11_6,0.084,0.178
11_7,0.084,0.178
11_8,0.084,0.178
11_9,0.084,0.178
12_0,0.084,0.178
12_1,0.084,0.178
12_10,0.084,0.178
12_11,0.084,0.178
12_12,0.084,0.178
12_13,0.084,0.178
12_14,0.084,0.178
12_15,0.084,0.178
12_2,0.084,0.178
12_3,0.084,0.178
12_4,0.084,0.178
12_5,0.084,0.178
12_6,0.084,0.178
12_7,0.084,0.178
12_8,0.084,0.178
12_9,0.084,0.178
13_0,0.084,0.178
13_1,0.084,0.178
13_10,0.084,0.178
13_11,0.084,0.178
13_12,0.084,0.178
13_13,0.084,0.178
13_14,0.084,0.178
13_15,0.084,0.178
13_2,0.084,0.178
13_3,0.084,0.178
13_4,0.084,0.178
13_5,0.084,0.178
13_6,0.084,0.178
13_7,0.084,0.178
13_8,0.084,0.178
13_9,0.084,0.178
14_0,0.084,0.178
14_1,0.084,0.178
14_10,0.084,0.178
14_11,0.084,0.178
14_12,0.084,0.178
14_13,0.084,0.178
14_14,0.084,0.178
14_15,0.084,0.178
14_2,0.084,0.178
14_3,0.084,0.178
14_4,0.084,0.178
14_5,0.084,0.178
14_6,0.084,0.178
14_7,0.084,0.178
14_8,0.084,0.178
14_9,0.084,0.178
15_0,0.084,0.181
15_1,0.084,0.181
15_10,0.084,0.181
15_11,0.084,0.181
15_12,0.084,0.181
15_13,0.084,0.181
15_14,0.084,0.181
15_15,0.084,0.181
15_2,0.084,0.181
15_3,0.084,0.181
15_4,0.084,0.181
15_5,0.084,0.181
15_6,0.084,0.181
15_7,0.084,0.181
15_8,0.084,0.181
15_9,0.084,0.181
16_0,0.084,0.181
16_1,0.084,0.181
16_10,0.084,0.181
16_11,0.084,0.181
16_12,0.084,0.181
16_13,0.084,0.181
16_14,0.084,0.181
16_15,0.084,0.181
16_2,0.084,0.181
16_3,0.084,0.181
16_4,0.084,0.181
16_5,0.084,0.181
16_6,0.084,0.181
16_7,0.084,0.181
16_8,0.084,0.181
16_9,0.084,0.181
1_0,0.086,0.174
1_1,0.086,0.174
1_10,0.086,0.174
1_11,0.086,0.174
1_12,0.086,0.174
1_13,0.086,0.174
1_14,0.086,0.174
1_15,0.086,0.174
1_2,0.086,0.174
1_3,0.086,0.174
1_4,0.086,0.174
1_5,0.086,0.174
1_6,0.086,0.174
1_7,0.086,0.174
1_8,0.086,0.174
1_9,0.086,0.174
2_0,0.086,0.174
2_1,0.086,0.174
2_10,0.086,0.174
2_11,0.086,0.174
2_12,0.086,0.174
2_13,0.086,0.174
2_14,0.086,0.174
2_15,0.086,0.174
2_2,0.086,0.174
2_3,0.086,0.174
2_4,0.086,0.174
2_5,0.086,0.174
2_6,0.086,0.174
2_7,0.086,0.174
2_8,0.086,0.174
2_9,0.086,0.174
3_0,0.086,0.174
3_1,0.086,0.174
3_10,0.086,0.174
3_11,0.086,0.174
3_12,0.086,0.174
3_13,0.086,0.174
3_14,0.086,0.174
3_15,0.086,0.174
3_2,0.086,0.174
3_3,0.086,0.174
3_4,0.086,0.174
3_5,0.086,0.174
3_6,0.086,0.174
3_7,0.086,0.174
3_8,0.086,0.174
3_9,0.086,0.174
4_0,0.086,0.174
4_1,0.086,0.174
4_10,0.086,0.174
4_11,0.086,0.174
4_12,0.086,0.174
4_13,0.086,0.174
4_14,0.086,0.174
4_15,0.086,0.174
4_2,0.086,0.174
4_3,0.086,0.174
4_4,0.086,0.174
4_5,0.086,0.174
4_6,0.086,0.174
4_7,0.086,0.174
4_8,0.086,0.174
4_9,0.086,0.174
5_0,0.086,0.174
5_1,0.086,0.174
5_10,0.086,0.174
5_11,0.086,0.174
5_12,0.086,0.174
5_13,0.086,0.174
5_14,0.086,0.174
5_15,0.086,0.174
5_2,0.086,0.174
5_3,0.086,0.174
5_4,0.086,0.174
5_5,0.086,0.174
5_6,0.086,0.174
5_7,0.086,0.174
5_8,0.086,0.174
5_9,0.086,0.174
6_0,0.086,0.174
6_1,0.086,0.174
6_10,0.086,0.174
6_11,0.086,0.174
6_12,0.086,0.174
6_13,0.086,0.174
6_14,0.086,0.174
6_15,0.086,0.174
6_2,0.086,0.174
6_3,0.086,0.174
6_4,0.086,0.174
6_5,0.086,0.174
6_6,0.086,0.174
6_7,0.086,0.174
6_8,0.086,0.174
6_9,0.086,0.174
7_0,0.087,0.176
7_1,0.087,0.176
7_10,0.087,0.176
7_11,0.087,0.176
7_12,0.087,0.176
7_13,0.087,0.176
7_14,0.087,0.176
7_15,0.087,0.176
7_2,0.087,0.176
7_3,0.087,0.176
7_4,0.087,0.176
7_5,0.087,0.176
7_6,0.087,0.176
7_7,0.087,0.176
7_8,0.087,0.176
7_9,0.087,0.176
8_0,0.083,0.176
8_1,0.083,0.176
8_10,0.083,0.176
8_11,0.083,0.176
8_12,0.083,0.176
8_13,0.083,0.176
8_14,0.083,0.176
8_15,0.083,0.176
8_2,0.083,0.176
8_3,0.083,0.176
8_4,0.083,0.176
8_5,0.083,0.176
8_6,0.083,0.176
8_7,0.083,0.176
8_8,0.083,0.176
8_9,0.083,0.176
9_0,0.084,0.178
9_1,0.084,0.178
9_10,0.084,0.178
9_11,0.084,0.178
9_12,0.084,0.178
9_13,0.084,0.178
9_14,0.084,0.178
9_15,0.084,0.178
9_2,0.084,0.178
9_3,0.084,0.178
9_4,0.084,0.178
9_5,0.084,0.178
9_6,0.084,0.178
9_7,0.084,0.178
9_8,0.084,0.178
9_9,0.084,0.178
