Edit Distances,MSE,MAD
0_0,0.085,0.181
0_1,0.085,0.181
0_10,0.085,0.181
0_11,0.085,0.181
0_12,0.085,0.181
0_13,0.085,0.181
0_14,0.085,0.181
0_15,0.085,0.181
0_2,0.085,0.181
0_3,0.085,0.181
0_4,0.085,0.181
0_5,0.085,0.181
0_6,0.085,0.181
0_7,0.085,0.181
0_8,0.085,0.181
0_9,0.085,0.181
10_0,0.085,0.183
10_1,0.085,0.183
10_10,0.085,0.183
10_11,0.085,0.183
10_12,0.085,0.183
10_13,0.085,0.183
10_14,0.085,0.183
10_15,0.085,0.183
10_2,0.085,0.183
10_3,0.085,0.183
10_4,0.085,0.183
10_5,0.085,0.183
10_6,0.085,0.183
10_7,0.085,0.183
10_8,0.085,0.183
10_9,0.085,0.183
11_0,0.085,0.183
11_1,0.085,0.183
11_10,0.085,0.183
11_11,0.085,0.183
11_12,0.085,0.183
11_13,0.085,0.183
11_14,0.085,0.183
11_15,0.085,0.183
11_2,0.085,0.183
11_3,0.085,0.183
11_4,0.085,0.183
11_5,0.085,0.183
11_6,0.085,0.183
11_7,0.085,0.183
11_8,0.085,0.183
11_9,0.085,0.183
12_0,0.085,0.183
12_1,0.085,0.183
12_10,0.085,0.183
12_11,0.085,0.183
12_12,0.085,0.183
12_13,0.085,0.183
12_14,0.085,0.183
12_15,0.085,0.183
12_2,0.085,0.183
12_3,0.085,0.183
12_4,0.085,0.183
12_5,0.085,0.183
12_6,0.085,0.183
12_7,0.085,0.183
12_8,0.085,0.183
12_9,0.085,0.183
13_0,0.085,0.183
13_1,0.085,0.183
13_10,0.085,0.183
13_11,0.085,0.183
13_12,0.085,0.183
13_13,0.085,0.183
13_14,0.085,0.183
13_15,0.085,0.183
13_2,0.085,0.183
13_3,0.085,0.183
13_4,0.085,0.183
13_5,0.085,0.183
13_6,0.085,0.183
13_7,0.085,0.183
13_8,0.085,0.183
13_9,0.085,0.183
14_0,0.085,0.183
14_1,0.085,0.183
14_10,0.085,0.183
14_11,0.085,0.183
14_12,0.085,0.183
14_13,0.085,0.183
14_14,0.085,0.183
14_15,0.085,0.183
14_2,0.085,0.183
14_3,0.085,0.183
14_4,0.085,0.183
14_5,0.085,0.183
14_6,0.085,0.183
14_7,0.085,0.183
14_8,0.085,0.183
14_9,0.085,0.183
15_0,0.085,0.183
15_1,0.085,0.183
15_10,0.085,0.183
15_11,0.085,0.183
15_12,0.085,0.183
15_13,0.085,0.183
15_14,0.085,0.183
15_15,0.085,0.183
15_2,0.085,0.183
15_3,0.085,0.183
15_4,0.085,0.183
15_5,0.085,0.183
15_6,0.085,0.183
15_7,0.085,0.183
15_8,0.085,0.183
15_9,0.085,0.183
16_0,0.085,0.183
16_1,0.085,0.183
16_10,0.085,0.183
16_11,0.085,0.183
16_12,0.085,0.183
16_13,0.085,0.183
16_14,0.085,0.183
16_15,0.085,0.183
16_2,0.085,0.183
16_3,0.085,0.183
16_4,0.085,0.183
16_5,0.085,0.183
16_6,0.085,0.183
16_7,0.085,0.183
16_8,0.085,0.183
16_9,0.085,0.183
1_0,0.085,0.181
1_1,0.085,0.181
1_10,0.085,0.181
1_11,0.085,0.181
1_12,0.085,0.181
1_13,0.085,0.181
1_14,0.085,0.181
1_15,0.085,0.181
1_2,0.085,0.181
1_3,0.085,0.181
1_4,0.085,0.181
1_5,0.085,0.181
1_6,0.085,0.181
1_7,0.085,0.181
1_8,0.085,0.181
1_9,0.085,0.181
2_0,0.085,0.181
2_1,0.085,0.181
2_10,0.085,0.181
2_11,0.085,0.181
2_12,0.085,0.181
2_13,0.085,0.181
2_14,0.085,0.181
2_15,0.085,0.181
2_2,0.085,0.181
2_3,0.085,0.181
2_4,0.085,0.181
2_5,0.085,0.181
2_6,0.085,0.181
2_7,0.085,0.181
2_8,0.085,0.181
2_9,0.085,0.181
3_0,0.085,0.181
3_1,0.085,0.181
3_10,0.085,0.181
3_11,0.085,0.181
3_12,0.085,0.181
3_13,0.085,0.181
3_14,0.085,0.181
3_15,0.085,0.181
3_2,0.085,0.181
3_3,0.085,0.181
3_4,0.085,0.181
3_5,0.085,0.181
3_6,0.085,0.181
3_7,0.085,0.181
3_8,0.085,0.181
3_9,0.085,0.181
4_0,0.085,0.181
4_1,0.085,0.181
4_10,0.085,0.181
4_11,0.085,0.181
4_12,0.085,0.181
4_13,0.085,0.181
4_14,0.085,0.181
4_15,0.085,0.181
4_2,0.085,0.181
4_3,0.085,0.181
4_4,0.085,0.181
4_5,0.085,0.181
4_6,0.085,0.181
4_7,0.085,0.181
4_8,0.085,0.181
4_9,0.085,0.181
5_0,0.085,0.183
5_1,0.085,0.183
5_10,0.085,0.183
5_11,0.085,0.183
5_12,0.085,0.183
5_13,0.085,0.183
5_14,0.085,0.183
5_15,0.085,0.183
5_2,0.085,0.183
5_3,0.085,0.183
5_4,0.085,0.183
5_5,0.085,0.183
5_6,0.085,0.183
5_7,0.085,0.183
5_8,0.085,0.183
5_9,0.085,0.183
6_0,0.085,0.183
6_1,0.085,0.183
6_10,0.085,0.183
6_11,0.085,0.183
6_12,0.085,0.183
6_13,0.085,0.183
6_14,0.085,0.183
6_15,0.085,0.183
6_2,0.085,0.183
6_3,0.085,0.183
6_4,0.085,0.183
6_5,0.085,0.183
6_6,0.085,0.183
6_7,0.085,0.183
6_8,0.085,0.183
6_9,0.085,0.183
7_0,0.085,0.183
7_1,0.085,0.183
7_10,0.085,0.183
7_11,0.085,0.183
7_12,0.085,0.183
7_13,0.085,0.183
7_14,0.085,0.183
7_15,0.085,0.183
7_2,0.085,0.183
7_3,0.085,0.183
7_4,0.085,0.183
7_5,0.085,0.183
7_6,0.085,0.183
7_7,0.085,0.183
7_8,0.085,0.183
7_9,0.085,0.183
8_0,0.085,0.183
8_1,0.085,0.183
8_10,0.085,0.183
8_11,0.085,0.183
8_12,0.085,0.183
8_13,0.085,0.183
