Edit Distances,MSE,MAD
0_0,0.076,0.201
0_1,0.076,0.201
0_10,0.076,0.201
0_11,0.076,0.201
0_12,0.076,0.201
0_13,0.076,0.201
0_14,0.076,0.201
0_15,0.076,0.201
0_2,0.076,0.201
0_3,0.076,0.201
0_4,0.076,0.201
0_5,0.076,0.201
0_6,0.076,0.201
0_7,0.076,0.201
0_8,0.076,0.201
0_9,0.076,0.201
10_0,0.075,0.201
10_1,0.075,0.201
10_10,0.075,0.201
10_11,0.075,0.201
10_12,0.075,0.201
10_13,0.075,0.201
10_14,0.075,0.201
10_15,0.075,0.201
10_2,0.075,0.201
10_3,0.075,0.201
10_4,0.075,0.201
10_5,0.075,0.201
10_6,0.075,0.201
10_7,0.075,0.201
10_8,0.075,0.201
10_9,0.075,0.201
11_0,0.075,0.201
11_1,0.075,0.201
11_10,0.075,0.201
11_11,0.075,0.201
11_12,0.075,0.201
11_13,0.075,0.201
11_14,0.075,0.201
11_15,0.075,0.201
11_2,0.075,0.201
11_3,0.075,0.201
11_4,0.075,0.201
11_5,0.075,0.201
11_6,0.075,0.201
11_7,0.075,0.201
11_8,0.075,0.201
11_9,0.075,0.201
12_0,0.075,0.201
12_1,0.075,0.201
12_10,0.075,0.201
12_11,0.075,0.201
12_12,0.075,0.201
12_13,0.075,0.201
12_14,0.075,0.201
12_15,0.075,0.201
12_2,0.075,0.201
12_3,0.075,0.201
12_4,0.075,0.201
12_5,0.075,0.201
12_6,0.075,0.201
12_7,0.075,0.201
12_8,0.075,0.201
12_9,0.075,0.201
13_0,0.075,0.201
13_1,0.075,0.201
13_10,0.075,0.201
13_11,0.075,0.201
13_12,0.075,0.201
13_13,0.075,0.201
13_14,0.075,0.201
13_15,0.075,0.201
13_2,0.075,0.201
13_3,0.075,0.201
13_4,0.075,0.201
13_5,0.075,0.201
13_6,0.075,0.201
13_7,0.075,0.201
13_8,0.075,0.201
13_9,0.075,0.201
14_0,0.075,0.201
14_1,0.075,0.201
14_10,0.075,0.201
14_11,0.075,0.201
14_12,0.075,0.201
14_13,0.075,0.201
14_14,0.075,0.201
14_15,0.075,0.201
14_2,0.075,0.201
14_3,0.075,0.201
14_4,0.075,0.201
14_5,0.075,0.201
14_6,0.075,0.201
14_7,0.075,0.201
14_8,0.075,0.201
14_9,0.075,0.201
15_0,0.075,0.203
15_1,0.075,0.203
15_10,0.075,0.203
15_11,0.075,0.203
15_12,0.075,0.203
15_13,0.075,0.203
15_14,0.075,0.203
15_15,0.075,0.203
15_2,0.075,0.203
15_3,0.075,0.203
15_4,0.075,0.203
15_5,0.075,0.203
15_6,0.075,0.203
15_7,0.075,0.203
15_8,0.075,0.203
15_9,0.075,0.203
16_0,0.075,0.203
16_1,0.075,0.203
16_10,0.075,0.203
16_11,0.075,0.203
16_12,0.075,0.203
16_13,0.075,0.203
16_14,0.075,0.203
16_15,0.075,0.203
16_2,0.075,0.203
16_3,0.075,0.203
16_4,0.075,0.203
16_5,0.075,0.203
16_6,0.075,0.203
16_7,0.075,0.203
16_8,0.075,0.203
16_9,0.075,0.203
1_0,0.076,0.201
1_1,0.076,0.201
1_10,0.076,0.201
1_11,0.076,0.201
