Question, -1.0, -0.75, -0.5, -0.48, -0.38, -0.25, 0.0, 0.12, 0.25, 0.5, -0.55, -0.05, 0.62, 0.75, 0.38, -0.88, 0.2, 1.0, -0.12, 0.15, 0.88
IPC033-289 v1,1.0,8.0,1.0,1.0,2.0,48.0,48.0,29.0,108.0,1.0,,,,,,,,,,,
IPC033-290 v1,,3.0,,,,18.0,116.0,6.0,54.0,,1.0,1.0,2.0,51.0,,,,,,,
IPC033-291 v1,1.0,,,,,,92.0,3.0,95.0,48.0,2.0,7.0,,1.0,4.0,,,,,,
IPC033-292 v1,,1.0,,,,,178.0,3.0,8.0,2.0,2.0,39.0,1.0,17.0,,1.0,1.0,1.0,,,
IPC033-293 v1,,,,,,1.0,170.0,1.0,6.0,2.0,1.0,42.0,,30.0,,,,,1.0,,
IPC033-294 v1,,,,,,1.0,143.0,1.0,17.0,3.0,3.0,28.0,,51.0,,,,4.0,,1.0,2.0
IPC033-295 v1,,,,,,,202.0,,28.0,,,,,19.0,,,,2.0,,,3.0
IPC033-309 v1,1.0,,,,,,96.0,22.0,115.0,3.0,2.0,,,,,,,,,,
MSE,0.084,,,,,,,,,,,,,,,,,,,,
MAD,0.165,,,,,,,,,,,,,,,,,,,,
