Question,Q231,Q232,Q233,Q234,Q235,Q236,Q246,Q253
Min MSE,0.016,0.029,0.061,0.055,0.083,0.075,0.068,0.085
Min MAD,0.048,0.069,0.0124,0.181,0.174,0.199,0.153,0.181
Text ED MSE,2,4,5,6,8,4,0,0
Text ED MAD,2,4,5,6,0,4,0,0
Tree ED MSE,3,4,2,4,0,0,0,0
Tree ED MAD,3,4,2,4,0,0,0,0
Words,9,8,21,26,29,25,26,23
Characters,55,41,97,160,164,123,169,108
Clauses,3,3,3,4,7,5,8,3
Keywords,4,3,5,5,5,6,7,4
Variables,6,5,16,21,24,19,19,19
