Question, -0.55, -0.25, -0.12, -0.05, 0.0, 0.25, 0.5, 0.75
IPC033-293 v1,2.0,1.0,1.0,41.0,171.0,9.0,2.0,27.0
MSE,0.067,,,,,,,
MAD,0.106,,,,,,,
