Question, -0.55, -0.25, -0.12, -0.05, 0.0, 0.12, 0.25, 0.5, 0.75
IPC033-293 v1,36.0,1.0,1.0,7.0,170.0,1.0,22.0,2.0,14.0
MSE,0.082,,,,,,,,
MAD,0.148,,,,,,,,
