Edit Distances,MSE,MAD
0_0,0.068,0.139
0_1,0.068,0.139
0_10,0.068,0.139
0_11,0.068,0.139
0_12,0.068,0.139
0_13,0.068,0.139
0_14,0.068,0.139
0_15,0.068,0.139
0_2,0.068,0.139
0_3,0.068,0.139
0_4,0.068,0.139
0_5,0.068,0.139
0_6,0.068,0.139
0_7,0.068,0.139
0_8,0.068,0.139
0_9,0.068,0.139
10_0,0.068,0.139
10_1,0.076,0.148
10_10,0.069,0.107
10_11,0.069,0.107
10_12,0.069,0.107
10_13,0.069,0.107
10_14,0.069,0.107
10_15,0.069,0.107
10_2,0.089,0.16
10_3,0.083,0.15
10_4,0.056,0.095
10_5,0.064,0.102
10_6,0.069,0.107
10_7,0.069,0.107
10_8,0.069,0.107
10_9,0.069,0.107
11_0,0.068,0.139
11_1,0.076,0.148
11_10,0.071,0.109
11_11,0.071,0.109
11_12,0.071,0.109
11_13,0.071,0.109
11_14,0.071,0.109
11_15,0.071,0.109
11_2,0.089,0.16
11_3,0.083,0.15
11_4,0.058,0.097
11_5,0.068,0.106
11_6,0.071,0.109
11_7,0.071,0.109
11_8,0.071,0.109
11_9,0.071,0.109
12_0,0.068,0.139
12_1,0.076,0.148
12_10,0.073,0.112
12_11,0.073,0.112
12_12,0.073,0.112
12_13,0.073,0.112
12_14,0.073,0.112
12_15,0.073,0.112
12_2,0.089,0.16
12_3,0.083,0.15
12_4,0.058,0.097
12_5,0.07,0.109
12_6,0.073,0.112
12_7,0.073,0.112
12_8,0.073,0.112
12_9,0.073,0.112
13_0,0.068,0.139
13_1,0.076,0.148
13_10,0.075,0.114
13_11,0.075,0.114
13_12,0.075,0.114
13_13,0.075,0.114
13_14,0.075,0.114
13_15,0.075,0.114
13_2,0.089,0.16
13_3,0.082,0.148
13_4,0.058,0.097
13_5,0.07,0.109
13_6,0.075,0.114
13_7,0.075,0.114
13_8,0.075,0.114
13_9,0.075,0.114
14_0,0.068,0.139
14_1,0.076,0.148
14_10,0.077,0.116
14_11,0.077,0.116
14_12,0.077,0.116
14_13,0.077,0.116
14_14,0.077,0.116
14_15,0.077,0.116
14_2,0.089,0.16
14_3,0.084,0.15
14_4,0.06,0.099
14_5,0.072,0.111
14_6,0.077,0.116
14_7,0.077,0.116
14_8,0.077,0.116
14_9,0.077,0.116
15_0,0.068,0.139
15_1,0.076,0.148
15_10,0.077,0.116
15_11,0.077,0.116
15_12,0.077,0.116
15_13,0.077,0.116
15_14,0.077,0.116
15_15,0.077,0.116
15_2,0.089,0.16
15_3,0.084,0.15
15_4,0.06,0.099
15_5,0.072,0.111
15_6,0.077,0.116
15_7,0.077,0.116
15_8,0.077,0.116
15_9,0.077,0.116
16_0,0.068,0.139
16_1,0.076,0.148
16_10,0.077,0.116
16_11,0.077,0.116
16_12,0.077,0.116
16_13,0.077,0.116
16_14,0.077,0.116
16_15,0.077,0.116
16_2,0.089,0.16
16_3,0.084,0.15
16_4,0.06,0.099
16_5,0.072,0.111
16_6,0.077,0.116
16_7,0.077,0.116
16_8,0.077,0.116
16_9,0.077,0.116
1_0,0.068,0.139
1_1,0.07,0.142
1_10,0.07,0.142
