sn_sm_rs,MSE,MAD
0_0_0,0.165,0.17
0_0_2,0.057,0.062
0_0_3,0.069,0.085
0_2_0,0.165,0.17
0_2_2,0.057,0.062
0_2_3,0.06,0.074
0_3_0,0.153,0.162
0_3_2,0.057,0.062
0_3_3,0.062,0.078
2_0_0,0.486,0.492
2_0_2,0.097,0.197
2_0_3,0.084,0.161
2_2_0,0.145,0.269
2_2_2,0.069,0.142
2_2_3,0.063,0.116
2_3_0,0.131,0.222
2_3_2,0.069,0.142
2_3_3,0.069,0.132
3_0_0,0.486,0.492
3_0_2,0.118,0.227
3_0_3,0.093,0.179
3_2_0,0.183,0.324
3_2_2,0.086,0.18
3_2_3,0.072,0.142
3_3_0,0.14,0.264
3_3_2,0.097,0.197
3_3_3,0.086,0.174
