sn_sm_rs,MSE,MAD
0_0_0,0.635,0.655
0_0_2,0.083,0.104
0_0_3,0.106,0.149
0_2_0,0.38,0.4
0_2_2,0.043,0.073
0_2_3,0.05,0.086
0_3_0,0.269,0.325
0_3_2,0.043,0.073
0_3_3,0.053,0.096
2_0_0,0.301,0.321
2_0_2,0.061,0.159
2_0_3,0.088,0.173
2_2_0,0.195,0.358
2_2_2,0.043,0.115
2_2_3,0.052,0.107
2_3_0,0.181,0.315
2_3_2,0.043,0.115
2_3_3,0.057,0.123
3_0_0,0.301,0.321
3_0_2,0.068,0.17
3_0_3,0.087,0.179
3_2_0,0.161,0.337
3_2_2,0.053,0.131
3_2_3,0.06,0.125
3_3_0,0.149,0.308
3_3_2,0.057,0.142
3_3_3,0.066,0.143
