Question, -1.0, -0.75, -0.6, -0.5, -0.38, -0.25, 0.0, 0.12, 0.25, 0.5
IPC033-289 v1,1.0,9.0,1.0,2.0,1.0,47.0,57.0,20.0,108.0,1.0
MSE,0.07,,,,,,,,,
MAD,0.208,,,,,,,,,
