Edit Distances,MSE,MAD
0_0,0.079,0.202
0_1,0.079,0.202
0_10,0.079,0.202
0_11,0.079,0.202
0_12,0.079,0.202
0_13,0.079,0.202
0_14,0.079,0.202
0_15,0.079,0.202
0_2,0.079,0.202
0_3,0.079,0.202
0_4,0.079,0.202
0_5,0.079,0.202
0_6,0.079,0.202
0_7,0.079,0.202
0_8,0.079,0.202
0_9,0.079,0.202
10_0,0.079,0.204
10_1,0.079,0.204
10_10,0.079,0.204
10_11,0.079,0.204
10_12,0.079,0.204
10_13,0.079,0.204
10_14,0.079,0.204
10_15,0.079,0.204
10_2,0.079,0.204
10_3,0.079,0.204
10_4,0.079,0.204
10_5,0.079,0.204
10_6,0.079,0.204
10_7,0.079,0.204
10_8,0.079,0.204
10_9,0.079,0.204
11_0,0.079,0.204
11_1,0.079,0.204
11_10,0.079,0.204
11_11,0.079,0.204
11_12,0.079,0.204
11_13,0.079,0.204
11_14,0.079,0.204
11_15,0.079,0.204
11_2,0.079,0.204
11_3,0.079,0.204
11_4,0.079,0.204
11_5,0.079,0.204
11_6,0.079,0.204
11_7,0.079,0.204
11_8,0.079,0.204
11_9,0.079,0.204
12_0,0.079,0.204
12_1,0.079,0.204
12_10,0.079,0.204
12_11,0.079,0.204
12_12,0.079,0.204
12_13,0.079,0.204
12_14,0.079,0.204
12_15,0.079,0.204
12_2,0.079,0.204
12_3,0.079,0.204
12_4,0.079,0.204
12_5,0.079,0.204
12_6,0.079,0.204
12_7,0.079,0.204
12_8,0.079,0.204
12_9,0.079,0.204
13_0,0.079,0.204
13_1,0.079,0.204
13_10,0.079,0.204
13_11,0.079,0.204
13_12,0.079,0.204
13_13,0.079,0.204
13_14,0.079,0.204
13_15,0.079,0.204
13_2,0.079,0.204
13_3,0.079,0.204
13_4,0.079,0.204
13_5,0.079,0.204
13_6,0.079,0.204
13_7,0.079,0.204
13_8,0.079,0.204
13_9,0.079,0.204
14_0,0.08,0.207
14_1,0.08,0.207
14_10,0.08,0.207
14_11,0.08,0.207
14_12,0.08,0.207
14_13,0.08,0.207
14_14,0.08,0.207
14_15,0.08,0.207
14_2,0.08,0.207
14_3,0.08,0.207
14_4,0.08,0.207
14_5,0.08,0.207
14_6,0.08,0.207
14_7,0.08,0.207
14_8,0.08,0.207
14_9,0.08,0.207
15_0,0.08,0.207
15_1,0.08,0.207
15_10,0.082,0.209
15_11,0.082,0.209
15_12,0.082,0.209
15_13,0.082,0.209
15_14,0.082,0.209
15_15,0.082,0.209
15_2,0.08,0.207
15_3,0.08,0.207
15_4,0.08,0.207
15_5,0.082,0.209
15_6,0.082,0.209
15_7,0.082,0.209
15_8,0.082,0.209
15_9,0.082,0.209
16_0,0.08,0.207
16_1,0.08,0.207
16_10,0.082,0.209
16_11,0.082,0.209
16_12,0.082,0.209
16_13,0.082,0.209
16_14,0.082,0.209
16_15,0.082,0.209
16_2,0.08,0.207
16_3,0.08,0.207
16_4,0.08,0.207
16_5,0.082,0.209
16_6,0.082,0.209
16_7,0.082,0.209
16_8,0.082,0.209
16_9,0.082,0.209
1_0,0.079,0.202
1_1,0.079,0.202
1_10,0.079,0.202
1_11,0.079,0.202
1_12,0.079,0.202
1_13,0.079,0.202
1_14,0.079,0.202
1_15,0.079,0.202
1_2,0.079,0.202
1_3,0.079,0.202
1_4,0.079,0.202
1_5,0.079,0.202
1_6,0.079,0.202
1_7,0.079,0.202
1_8,0.079,0.202
1_9,0.079,0.202
2_0,0.079,0.202
2_1,0.079,0.202
2_10,0.079,0.202
2_11,0.079,0.202
2_12,0.079,0.202
2_13,0.079,0.202
2_14,0.079,0.202
2_15,0.079,0.202
2_2,0.079,0.202
2_3,0.079,0.202
2_4,0.079,0.202
2_5,0.079,0.202
2_6,0.079,0.202
2_7,0.079,0.202
2_8,0.079,0.202
2_9,0.079,0.202
3_0,0.079,0.202
3_1,0.079,0.202
3_10,0.079,0.202
3_11,0.079,0.202
3_12,0.079,0.202
3_13,0.079,0.202
3_14,0.079,0.202
3_15,0.079,0.202
3_2,0.079,0.202
3_3,0.079,0.202
3_4,0.079,0.202
3_5,0.079,0.202
3_6,0.079,0.202
3_7,0.079,0.202
3_8,0.079,0.202
3_9,0.079,0.202
4_0,0.079,0.203
4_1,0.079,0.203
4_10,0.079,0.203
4_11,0.079,0.203
4_12,0.079,0.203
4_13,0.079,0.203
4_14,0.079,0.203
4_15,0.079,0.203
4_2,0.079,0.203
4_3,0.079,0.203
4_4,0.079,0.203
4_5,0.079,0.203
4_6,0.079,0.203
4_7,0.079,0.203
4_8,0.079,0.203
4_9,0.079,0.203
5_0,0.079,0.203
5_1,0.079,0.203
5_10,0.079,0.203
5_11,0.079,0.203
5_12,0.079,0.203
5_13,0.079,0.203
5_14,0.079,0.203
5_15,0.079,0.203
5_2,0.079,0.203
5_3,0.079,0.203
5_4,0.079,0.203
5_5,0.079,0.203
5_6,0.079,0.203
5_7,0.079,0.203
5_8,0.079,0.203
5_9,0.079,0.203
6_0,0.079,0.203
6_1,0.079,0.203
6_10,0.079,0.203
6_11,0.079,0.203
6_12,0.079,0.203
6_13,0.079,0.203
6_14,0.079,0.203
6_15,0.079,0.203
6_2,0.079,0.203
6_3,0.079,0.203
6_4,0.079,0.203
6_5,0.079,0.203
6_6,0.079,0.203
6_7,0.079,0.203
6_8,0.079,0.203
6_9,0.079,0.203
7_0,0.079,0.203
7_1,0.079,0.203
7_10,0.079,0.203
7_11,0.079,0.203
7_12,0.079,0.203
7_13,0.079,0.203
7_14,0.079,0.203
7_15,0.079,0.203
7_2,0.079,0.203
7_3,0.079,0.203
7_4,0.079,0.203
7_5,0.079,0.203
7_6,0.079,0.203
7_7,0.079,0.203
7_8,0.079,0.203
7_9,0.079,0.203
8_0,0.079,0.203
8_1,0.079,0.203
8_10,0.079,0.203
8_11,0.079,0.203
8_12,0.079,0.203
8_13,0.079,0.203
8_14,0.079,0.203
8_15,0.079,0.203
8_2,0.079,0.203
8_3,0.079,0.203
8_4,0.079,0.203
8_5,0.079,0.203
8_6,0.079,0.203
8_7,0.079,0.203
8_8,0.079,0.203
8_9,0.079,0.203
9_0,0.079,0.203
9_1,0.079,0.203
9_10,0.079,0.203
9_11,0.079,0.203
9_12,0.079,0.203
9_13,0.079,0.203
9_14,0.079,0.203
9_15,0.079,0.203
9_2,0.079,0.203
9_3,0.079,0.203
9_4,0.079,0.203
9_5,0.079,0.203
9_6,0.079,0.203
9_7,0.079,0.203
9_8,0.079,0.203
9_9,0.079,0.203
