sn_sm_rs,MSE,MAD
0_0_0,0.243,0.257
0_0_2,0.059,0.072
0_0_3,0.062,0.08
0_2_0,0.212,0.226
0_2_2,0.059,0.072
0_2_3,0.06,0.076
0_3_0,0.201,0.218
0_3_2,0.059,0.072
0_3_3,0.06,0.077
2_0_0,0.579,0.592
2_0_2,0.098,0.24
2_0_3,0.072,0.18
2_2_0,0.167,0.343
2_2_2,0.067,0.174
2_2_3,0.059,0.132
2_3_0,0.158,0.291
2_3_2,0.067,0.174
2_3_3,0.062,0.148
3_0_0,0.57,0.585
3_0_2,0.116,0.272
3_0_3,0.077,0.203
3_2_0,0.2,0.399
3_2_2,0.081,0.217
3_2_3,0.062,0.161
3_3_0,0.156,0.335
3_3_2,0.092,0.237
3_3_3,0.075,0.201
