Question, -0.75, -0.55, -0.35, 0.0, 0.12, 0.25, 0.5, 0.75, 0.88, 1.0
IPC033-294 v1,1.0,31.0,1.0,143.0,1.0,50.0,5.0,16.0,2.0,4.0
MSE,0.114,,,,,,,,,
MAD,0.201,,,,,,,,,
