Question, -0.55, -0.25, -0.05, 0.0, 0.12, 0.15, 0.25, 0.5, 0.75, 0.88, 1.0
IPC033-294 v1,6.0,1.0,25.0,143.0,1.0,1.0,25.0,5.0,41.0,2.0,4.0
MSE,0.131,,,,,,,,,,
MAD,0.198,,,,,,,,,,
