sn_sm_rs,MSE,MAD
0_0_0,0.795,0.795
0_0_2,0.0,0.0
0_0_3,0.001,0.002
0_2_0,0.217,0.217
0_2_2,0.025,0.041
0_2_3,0.046,0.058
0_3_0,0.156,0.185
0_3_2,0.025,0.041
0_3_3,0.038,0.053
2_0_0,0.193,0.193
2_0_2,0.025,0.069
2_0_3,0.015,0.048
2_2_0,0.134,0.217
2_2_2,0.044,0.081
2_2_3,0.059,0.084
2_3_0,0.127,0.196
2_3_2,0.044,0.081
2_3_3,0.053,0.082
3_0_0,0.196,0.199
3_0_2,0.036,0.084
3_0_3,0.02,0.059
3_2_0,0.121,0.214
3_2_2,0.06,0.1
3_2_3,0.067,0.094
3_3_0,0.115,0.197
3_3_2,0.059,0.101
3_3_3,0.062,0.098
