sn_sm_rs,MSE,MAD
0_0_0,0.14,0.181
0_0_2,0.045,0.086
0_0_3,0.059,0.113
0_2_0,0.14,0.181
0_2_2,0.045,0.086
0_2_3,0.032,0.1
0_3_0,0.14,0.181
0_3_2,0.045,0.086
0_3_3,0.036,0.104
2_0_0,0.621,0.661
2_0_2,0.072,0.219
2_0_3,0.093,0.218
2_2_0,0.114,0.283
2_2_2,0.042,0.166
2_2_3,0.038,0.144
2_3_0,0.103,0.242
2_3_2,0.042,0.166
2_3_3,0.052,0.16
3_0_0,0.624,0.667
3_0_2,0.098,0.253
3_0_3,0.107,0.243
3_2_0,0.173,0.347
3_2_2,0.06,0.203
3_2_3,0.054,0.17
3_3_0,0.115,0.285
3_3_2,0.072,0.221
3_3_3,0.079,0.203
