sn_sm_rs,MSE,MAD
0_0_0,0.778,0.805
0_0_2,0.116,0.143
0_0_3,0.118,0.147
0_2_0,0.689,0.717
0_2_2,0.046,0.087
0_2_3,0.05,0.076
0_3_0,0.395,0.52
0_3_2,0.046,0.087
0_3_3,0.047,0.081
2_0_0,0.16,0.187
2_0_2,0.059,0.136
2_0_3,0.076,0.142
2_2_0,0.316,0.522
2_2_2,0.036,0.094
2_2_3,0.043,0.08
2_3_0,0.255,0.439
2_3_2,0.036,0.094
2_3_3,0.04,0.086
3_0_0,0.157,0.185
3_0_2,0.055,0.133
3_0_3,0.068,0.14
3_2_0,0.201,0.422
3_2_2,0.04,0.096
3_2_3,0.045,0.087
3_3_0,0.189,0.387
3_3_2,0.04,0.101
3_3_3,0.042,0.092
