Question, -0.8, -0.23, -0.09, 0.0, 0.06, 0.26, 0.29, -0.29, -0.14, 0.71, -0.71, -0.51, -0.21, -0.31, 0.04, -1.0, -0.66, -0.36, 0.14
IPC033-231 v1,1.0,4.0,2.0,45.0,10.0,2.0,1.0,,,,,,,,,,,,
IPC033-232 v1,1.0,,1.0,51.0,,,6.0,4.0,1.0,1.0,,,,,,,,,
IPC033-233 v1,1.0,,,44.0,,,13.0,,,,2.0,3.0,2.0,,,,,,
IPC033-234 v1,,,,22.0,1.0,,34.0,,,,1.0,4.0,1.0,1.0,1.0,,,,
IPC033-235 v1,,,,32.0,,,28.0,,,,,1.0,,,1.0,3.0,,,
IPC033-236 v1,1.0,,,22.0,,,36.0,,,,1.0,2.0,,,,,1.0,1.0,1.0
IPC033-246 v1,1.0,,,35.0,,,23.0,,,,,3.0,,,,1.0,,,2.0
IPC033-253 v1,1.0,,,36.0,,,23.0,,,,,4.0,,,1.0,,,,
MSE,0.058,,,,,,,,,,,,,,,,,,
MAD,0.144,,,,,,,,,,,,,,,,,,
