Question,Original 0.0,Original 0.6,Original 0.8,Original 1.0,Final 0.0,Final 0.25,Final 0.625,Final 0.75,Final 0.875,Final 1.0,Original 0.5,Final 0.5,Original 0.25,Final 0.125
IPC033-231 v1,1,2.0,17,45,1,1,4.0,2.0,12.0,45,,,,
IPC033-232 v1,12,,2,51,6,6,,6.0,1.0,46,,,,
IPC033-233 v1,20,,4,39,8,12,,,,37,2.0,8.0,,
IPC033-234 v1,40,1.0,5,17,6,42,,,1.0,16,1.0,,1.0,
IPC033-235 v1,53,,1,10,28,27,,,,7,,3.0,1.0,
IPC033-236 v1,47,,4,13,11,38,,,,12,1.0,1.0,,3.0
IPC033-246 v1,56,,4,5,33,24,,,,4,,2.0,,2.0
IPC033-253 v1,32,,5,27,10,16,,,,27,,12.0,1.0,
Total,261.0,3.0,42.0,207.0,103.0,166.0,4.0,8.0,14.0,194.0,4.0,26.0,3.0,5.0
