sn_sm_rs,MSE,MAD
0_0_0,0.871,0.92
0_0_2,0.178,0.228
0_0_3,0.178,0.228
0_2_0,0.517,0.566
0_2_2,0.162,0.212
0_2_3,0.159,0.205
0_3_0,0.358,0.458
0_3_2,0.162,0.212
0_3_3,0.159,0.207
2_0_0,0.175,0.225
2_0_2,0.167,0.223
2_0_3,0.17,0.225
2_2_0,0.222,0.34
2_2_2,0.023,0.052
2_2_3,0.015,0.045
2_3_0,0.151,0.255
2_3_2,0.023,0.052
2_3_3,0.016,0.049
3_0_0,0.046,0.102
3_0_2,0.1,0.172
3_0_3,0.127,0.194
3_2_0,0.125,0.252
3_2_2,0.017,0.051
3_2_3,0.016,0.047
3_3_0,0.107,0.22
3_3_2,0.019,0.052
3_3_3,0.016,0.048
