Question, -0.8, -0.55, -0.5, -0.3, -0.05, 0.0, 0.15, 0.5
IPC033-231 v1,1.0,5.0,22.0,2.0,9.0,23.0,2.0,1.0
MSE,0.125,,,,,,,
MAD,0.252,,,,,,,
