Question, -1.0, -0.67, -0.6, -0.5, -0.17, 0.0, 0.33, -0.47, 0.67, 0.03, 0.2, 1.0, -0.27
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,77.0,109.0,,,,,,
IPC033-290 v1,,21.0,,,,123.0,105.0,2.0,1.0,,,,
IPC033-291 v1,1.0,,,,34.0,65.0,144.0,2.0,,7.0,,,
IPC033-292 v1,1.0,1.0,,,,182.0,27.0,41.0,,,1.0,1.0,
IPC033-293 v1,1.0,1.0,,,,171.0,38.0,43.0,,,,,
IPC033-294 v1,,1.0,,,,146.0,75.0,31.0,,,,,1.0
IPC033-295 v1,,,,,,203.0,49.0,,2.0,,,,
IPC033-309 v1,1.0,,,,,118.0,118.0,2.0,,,,,
MSE,0.062,,,,,,,,,,,,
MAD,0.161,,,,,,,,,,,,
