Question, -1.0, -0.8, -0.6, -0.5, -0.3, 0.0, 0.2, 0.6, 0.8, -0.1, 0.1, 0.4, 1.0, -0.4
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,77.0,108.0,1.0,,,,,,
IPC033-290 v1,,21.0,2.0,,,123.0,105.0,,1.0,,,,,
IPC033-291 v1,1.0,,2.0,,,63.0,96.0,48.0,,7.0,34.0,2.0,,
IPC033-292 v1,1.0,1.0,41.0,,,182.0,25.0,3.0,,,,,1.0,
IPC033-293 v1,1.0,1.0,43.0,,,171.0,36.0,2.0,,,,,,
IPC033-294 v1,,1.0,31.0,,,146.0,52.0,23.0,,,,,,1.0
IPC033-295 v1,,,,,,202.0,48.0,1.0,2.0,,,1.0,,
IPC033-309 v1,1.0,,2.0,,,118.0,115.0,3.0,,,,,,
MSE,0.066,,,,,,,,,,,,,
MAD,0.147,,,,,,,,,,,,,
