Question,Original 0.0,Original 0.5,Original 0.6,Original 1.0,Final 0.0,Final 0.5,Final 1.0,Original 0.8,Original 0.3,Final 0,Final 1
IPC033-289 v1,171,50.0,1.0,25,52.0,15.0,180.0,,,,
IPC033-290 v1,121,,,129,14.0,2.0,236.0,2.0,,,
IPC033-291 v1,185,34.0,,25,39.0,3.0,211.0,2.0,7.0,,
IPC033-292 v1,34,,,178,4.0,3.0,247.0,42.0,,,
IPC033-293 v1,41,,,170,3.0,1.0,250.0,43.0,,,
IPC033-294 v1,81,,1.0,141,,,,31.0,,6.0,248.0
IPC033-295 v1,52,,,202,,3.0,251.0,,,,
IPC033-309 v1,205,,,32,77.0,11.0,151.0,2.0,,,
Total,890.0,84.0,2.0,902.0,189.0,38.0,1526.0,122.0,7.0,6.0,248.0
