Question, -1.0, -0.8, -0.6, -0.5, -0.3, 0.0, 0.2, -0.4, -0.1, -0.2, 0.6, 0.8, 1.0
IPC033-289 v1,1.0,24.0,1.0,3.0,47.0,62.0,109.0,,,,,,
IPC033-290 v1,,125.0,2.0,,,18.0,105.0,2.0,,,,,
IPC033-291 v1,1.0,24.0,2.0,,34.0,41.0,144.0,,7.0,,,,
IPC033-292 v1,1.0,177.0,42.0,,,6.0,28.0,,,,,,
IPC033-293 v1,,60.0,21.0,,,20.0,42.0,92.0,,14.0,5.0,,
IPC033-294 v1,,46.0,19.0,,,69.0,75.0,33.0,,9.0,3.0,,
IPC033-295 v1,,26.0,,,,153.0,36.0,23.0,,,7.0,3.0,6.0
IPC033-309 v1,1.0,31.0,2.0,,,87.0,118.0,,,,,,
MSE,0.218,,,,,,,,,,,,
MAD,0.353,,,,,,,,,,,,
