Question, -1.0, -0.86, -0.6, -0.5, -0.36, 0.0, 0.14, 0.43, -0.66, 0.71, 0.86, -0.16, -0.07, 0.29, -0.09, 0.2, 0.57, 1.0, -0.29, -0.14, -0.46
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,77.0,108.0,1.0,,,,,,,,,,,,,
IPC033-290 v1,,21.0,,,,123.0,101.0,,2.0,4.0,1.0,,,,,,,,,,
IPC033-291 v1,1.0,,,,,63.0,96.0,48.0,2.0,,,7.0,34.0,2.0,,,,,,,
IPC033-292 v1,1.0,1.0,,,,181.0,17.0,3.0,7.0,7.0,,,,,25.0,10.0,1.0,1.0,,,
IPC033-293 v1,,,,,,171.0,27.0,2.0,9.0,9.0,,,,,21.0,13.0,,,1.0,1.0,
IPC033-294 v1,,,,,,146.0,44.0,23.0,8.0,6.0,,,,,15.0,8.0,,2.0,1.0,,1.0
IPC033-295 v1,,,,,,202.0,30.0,,,17.0,3.0,,,,,,,2.0,,,
IPC033-309 v1,1.0,,,,,118.0,115.0,3.0,2.0,,,,,,,,,,,,
MSE,0.052,,,,,,,,,,,,,,,,,,,,
MAD,0.117,,,,,,,,,,,,,,,,,,,,
