Question, -1.0, -0.6, -0.5, -0.1, 0.0, 0.2, 0.4, -0.4, 0.8, 0.1, -0.8, 1.0, -0.2
IPC033-289 v1,1.0,10.0,3.0,47.0,62.0,15.0,109.0,,,,,,
IPC033-290 v1,,21.0,,,122.0,1.0,105.0,2.0,1.0,,,,
IPC033-291 v1,1.0,,,34.0,62.0,3.0,144.0,2.0,,7.0,,,
IPC033-292 v1,,1.0,,,180.0,3.0,27.0,41.0,,,1.0,1.0,
IPC033-293 v1,,1.0,,,171.0,,38.0,43.0,,,1.0,,
IPC033-294 v1,,1.0,,,146.0,,75.0,31.0,,,,,1.0
IPC033-295 v1,,,,,202.0,1.0,49.0,,2.0,,,,
IPC033-309 v1,1.0,,,,107.0,11.0,118.0,2.0,,,,,
MSE,0.074,,,,,,,,,,,,
MAD,0.179,,,,,,,,,,,,
