Question, -0.88, -0.38, -0.18, 0.0, 0.07, 0.12, 0.2, 0.38, 0.62, 0.75, 0.88, 1.0
IPC033-292 v1,1.0,1.0,7.0,180.0,25.0,1.0,10.0,1.0,17.0,3.0,7.0,1.0
MSE,0.065,,,,,,,,,,,
MAD,0.105,,,,,,,,,,,
