Edit Distances,MSE,MAD
0_0,0.02,0.051
0_1,0.02,0.051
0_10,0.02,0.051
0_11,0.02,0.051
0_12,0.02,0.051
0_13,0.02,0.051
0_14,0.02,0.051
0_15,0.02,0.051
0_2,0.02,0.051
0_3,0.02,0.051
0_4,0.02,0.051
0_5,0.02,0.051
0_6,0.02,0.051
0_7,0.02,0.051
0_8,0.02,0.051
0_9,0.02,0.051
10_0,0.028,0.066
10_1,0.023,0.056
10_10,0.016,0.048
10_11,0.016,0.048
10_12,0.016,0.048
10_13,0.016,0.048
10_14,0.016,0.048
10_15,0.016,0.048
10_2,0.023,0.056
10_3,0.016,0.048
10_4,0.016,0.048
10_5,0.016,0.048
10_6,0.016,0.048
10_7,0.016,0.048
10_8,0.016,0.048
10_9,0.016,0.048
11_0,0.028,0.066
11_1,0.023,0.056
11_10,0.016,0.048
11_11,0.016,0.048
11_12,0.016,0.048
11_13,0.016,0.048
11_14,0.016,0.048
11_15,0.016,0.048
11_2,0.023,0.056
11_3,0.016,0.048
11_4,0.016,0.048
11_5,0.016,0.048
11_6,0.016,0.048
11_7,0.016,0.048
11_8,0.016,0.048
11_9,0.016,0.048
12_0,0.028,0.066
12_1,0.023,0.056
12_10,0.016,0.048
12_11,0.016,0.048
12_12,0.016,0.048
12_13,0.016,0.048
12_14,0.016,0.048
12_15,0.016,0.048
12_2,0.023,0.056
12_3,0.016,0.048
12_4,0.016,0.048
12_5,0.016,0.048
12_6,0.016,0.048
12_7,0.016,0.048
12_8,0.016,0.048
12_9,0.016,0.048
13_0,0.028,0.066
13_1,0.023,0.056
13_10,0.016,0.048
13_11,0.016,0.048
13_12,0.016,0.048
13_13,0.016,0.048
13_14,0.016,0.048
13_15,0.016,0.048
13_2,0.023,0.056
13_3,0.016,0.048
13_4,0.016,0.048
13_5,0.016,0.048
13_6,0.016,0.048
13_7,0.016,0.048
13_8,0.016,0.048
13_9,0.016,0.048
14_0,0.028,0.066
14_1,0.023,0.056
14_10,0.016,0.048
14_11,0.016,0.048
14_12,0.016,0.048
14_13,0.016,0.048
14_14,0.016,0.048
14_15,0.016,0.048
14_2,0.023,0.056
14_3,0.016,0.048
14_4,0.016,0.048
14_5,0.016,0.048
14_6,0.016,0.048
14_7,0.016,0.048
14_8,0.016,0.048
14_9,0.016,0.048
15_0,0.028,0.066
15_1,0.023,0.056
15_10,0.016,0.048
15_11,0.016,0.048
15_12,0.016,0.048
15_13,0.016,0.048
15_14,0.016,0.048
15_15,0.016,0.048
15_2,0.023,0.056
15_3,0.016,0.048
15_4,0.016,0.048
15_5,0.016,0.048
15_6,0.016,0.048
15_7,0.016,0.048
15_8,0.016,0.048
15_9,0.016,0.048
16_0,0.028,0.066
16_1,0.023,0.056
16_10,0.016,0.048
16_11,0.016,0.048
16_12,0.016,0.048
16_13,0.016,0.048
16_14,0.016,0.048
16_15,0.016,0.048
16_2,0.023,0.056
16_3,0.016,0.048
16_4,0.016,0.048
16_5,0.016,0.048
16_6,0.016,0.048
16_7,0.016,0.048
16_8,0.016,0.048
16_9,0.016,0.048
1_0,0.027,0.061
1_1,0.026,0.058
1_10,0.021,0.051
1_11,0.021,0.051
1_12,0.021,0.051
1_13,0.021,0.051
1_14,0.021,0.051
1_15,0.021,0.051
1_2,0.026,0.058
1_3,0.021,0.051
1_4,0.021,0.051
1_5,0.021,0.051
1_6,0.021,0.051
1_7,0.021,0.051
1_8,0.021,0.051
1_9,0.021,0.051
2_0,0.028,0.066
2_1,0.027,0.064
2_10,0.016,0.048
2_11,0.016,0.048
2_12,0.016,0.048
2_13,0.016,0.048
2_14,0.016,0.048
2_15,0.016,0.048
2_2,0.027,0.064
2_3,0.016,0.048
2_4,0.016,0.048
2_5,0.016,0.048
2_6,0.016,0.048
2_7,0.016,0.048
2_8,0.016,0.048
2_9,0.016,0.048
3_0,0.028,0.066
3_1,0.027,0.064
3_10,0.016,0.048
3_11,0.016,0.048
3_12,0.016,0.048
3_13,0.016,0.048
3_14,0.016,0.048
3_15,0.016,0.048
3_2,0.027,0.064
3_3,0.016,0.048
3_4,0.016,0.048
3_5,0.016,0.048
3_6,0.016,0.048
3_7,0.016,0.048
3_8,0.016,0.048
3_9,0.016,0.048
4_0,0.028,0.066
4_1,0.027,0.064
4_10,0.016,0.048
4_11,0.016,0.048
4_12,0.016,0.048
4_13,0.016,0.048
4_14,0.016,0.048
4_15,0.016,0.048
4_2,0.027,0.064
4_3,0.016,0.048
4_4,0.016,0.048
4_5,0.016,0.048
4_6,0.016,0.048
4_7,0.016,0.048
4_8,0.016,0.048
4_9,0.016,0.048
5_0,0.028,0.066
5_1,0.027,0.064
5_10,0.016,0.048
5_11,0.016,0.048
5_12,0.016,0.048
5_13,0.016,0.048
5_14,0.016,0.048
5_15,0.016,0.048
5_2,0.027,0.064
5_3,0.016,0.048
5_4,0.016,0.048
5_5,0.016,0.048
5_6,0.016,0.048
5_7,0.016,0.048
5_8,0.016,0.048
5_9,0.016,0.048
6_0,0.028,0.066
6_1,0.027,0.064
