Question, -0.8, -0.55, 0.0, 0.07, 0.2, 0.25, 0.28
IPC033-231 v1,1.0,1.0,45.0,14.0,1.0,1.0,2.0
MSE,0.02,,,,,,
MAD,0.051,,,,,,
