Question, -1.0, -0.6, -0.5, -0.38, 0.0, 0.12, 0.62, 0.75
IPC033-289 v1,1.0,1.0,3.0,9.0,62.0,62.0,108.0,1.0
MSE,0.188,,,,,,,
MAD,0.331,,,,,,,
