sn_sm_rs,MSE,MAD
0_0_0,0.647,0.665
0_0_2,0.078,0.095
0_0_3,0.078,0.111
0_2_0,0.647,0.665
0_2_2,0.078,0.095
0_2_3,0.07,0.103
0_3_0,0.636,0.657
0_3_2,0.078,0.095
0_3_3,0.071,0.106
2_0_0,0.219,0.237
2_0_2,0.057,0.126
2_0_3,0.072,0.132
2_2_0,0.312,0.507
2_2_2,0.057,0.114
2_2_3,0.062,0.112
2_3_0,0.414,0.563
2_3_2,0.057,0.114
2_3_3,0.063,0.117
3_0_0,0.219,0.237
3_0_2,0.061,0.132
3_0_3,0.072,0.137
3_2_0,0.214,0.426
3_2_2,0.056,0.122
3_2_3,0.061,0.119
3_3_0,0.307,0.502
3_3_2,0.057,0.126
3_3_3,0.063,0.126
