sn_sm_rs,MSE,MAD
0_0_0,0.321,0.344
0_0_2,0.075,0.098
0_0_3,0.075,0.098
0_2_0,0.306,0.328
0_2_2,0.075,0.098
0_2_3,0.075,0.098
0_3_0,0.306,0.328
0_3_2,0.075,0.098
0_3_3,0.075,0.098
2_0_0,0.55,0.573
2_0_2,0.079,0.222
2_0_3,0.057,0.165
2_2_0,0.193,0.387
2_2_2,0.057,0.165
2_2_3,0.054,0.131
2_3_0,0.214,0.362
2_3_2,0.057,0.165
2_3_3,0.054,0.142
3_0_0,0.542,0.565
3_0_2,0.1,0.25
3_0_3,0.063,0.186
3_2_0,0.204,0.417
3_2_2,0.07,0.204
3_2_3,0.055,0.155
3_3_0,0.189,0.384
3_3_2,0.079,0.22
3_3_3,0.063,0.186
